Rating (1-5) and the number of ratings for each wine product
Year: 2022
,
 ProductID,Rating,NumberOfRatings
,p001931,3.5,49
,p006460,4.0,139
,p012137,3.8,54
,p011777,3.6,84
,p008095,3.8,922
,p006157,3.7,174
,p003274,4.4,43
,p002859,3.5,77
,p005326,4.3,508
,p005437,3.2,127
,p007786,4.2,55
,p011387,3.2,231
,p004390,4.5,40
,p000133,3.7,570
,p009656,3.6,55
,p003685,3.8,686
,p008580,4.3,121
,p005430,4.0,75
,p006145,3.8,44
,p007848,3.8, 4982
,p013620,3.6,140
,p010682,3.8,587
,p012615,4.0,583
,p009775,4.0,52
,p012036,4.0,400
,p011332,3.7,32
,p007147,3.6,151
,p003523,4.4,263
,p004154,3.5,27
,p005330,3.9,100
,p007165,3.3,96
,p002902,3.7,33
,p013733,3.8,44
,p002734,4.1,26
,p003494,3.9,133
,p005198,3.4,251
,p002525,4.0,60
,p000017,3.9,897
,p006947,3.7,82
,p011529,4.2,307
,p013270,3.9,660
,p005994,3.9,133
,p008712,3.7,48
,p010852,3.6,29
,p002386,3.8,47
,p004921,3.6,87
,p008274,3.9,700
,p010707,3.5,48
,p000741,4.2, 7569
,p003524,3.7, 3561
,p002997,2.8,66
,p004865,4.1,52
,p010178,3.6,832
,p006909,3.6,47
,p001131,4.1,73
,p002452,3.8,151
,p007002,3.8,101
,p000323,3.8, 1434
,p013371,4.1,176
,p010459,3.9,333
,p009525,3.8,318
,p004332,4.6, 2376
,p008621,3.8,206
,p007031,4.0,147
,p000610,3.7,551
,p002733,3.6,57
,p004273,4.0,159
,p013771,4.1,247
,p011671,3.8,198
,p005573,4.5, 1658
,p013410,3.9,678
,p011548,3.7,94
,p001242,4.6,131
,p001189,4.2,59
,p013736,3.5,109
,p003767,3.6,244
,p006334,3.9,436
,p008324,4.1,249
,p013048,3.9,375
,p013518,4.1,247
,p012849,4.0,170
,p007109,4.1,567
,p002815,3.8,130
,p011753,3.8, 2649
,p007284,4.0,519
,p004703,3.8,35
,p006242,4.2, 6023
,p004721,4.2,141
,p010172,4.3,82
,p001102,3.9,51
,p003886,4.3,345
,p012549,3.7,25
,p012116,3.4,180
,p012405,4.0,306
,p013455,3.8,57
,p006438,4.2,49
,p012905,3.9,54
,p001220,3.6,45
,p009596,3.7,493
,p003957,3.1,28
,p002696,3.6,25
,p010542,3.8,39
,p002896,4.1,329
,p006837,3.5,248
,p006860,4.2,223
,p004901,4.2,631
,p002171,3.8, 2104
,p001932,3.3,405
,p003236,4.2, 1610
,p002545,4.1, 1541
,p012204,4.0,224
,p012582,4.0, 1106
,p004551,3.9, 1190
,p010865,3.6,47
,p006144,4.0,39
,p011389,3.5,89
,p012708,4.0,161
,p006838,4.3,296
,p007436,3.9,104
,p001156,4.4,35
,p005757,4.4,589
,p000914,3.8,166
,p010117,4.4,281
,p001417,3.8,195
,p000763,3.7,409
,p010381,4.2,38
,p004924,4.1,64
,p012210,3.8,757
,p004153,4.1,28
,p013529,3.6,84
,p004353,3.4,47
,p003896,3.7,28
,p005545,3.9,103
,p009774,3.9,601
,p011130,3.9,681
,p013808,3.9,41
,p005664,4.1,26726
,p011404,4.2,91
,p002160,3.7,40
,p002381,3.9,127
,p002124,3.8,470
,p007417,4.5,88
,p013544,4.3,76
,p011400,3.7,199
,p004828,3.5,44
,p003059,4.2,225
,p005577,4.3, 3114
,p013367,3.9,50
,p005219,3.7,336
,p006626,4.2,33
,p012876,4.0,59
,p006018,3.7,73
,p003119,3.9,47
,p007855,4.4,79
,p000461,3.7,245
,p002005,3.9,446
,p004187,4.0,65
,p005708,3.7,254
,p009409,3.8,371
,p000486,3.4,27
,p004949,3.5,40
,p002307,3.7,183
,p011471,3.6, 2128
,p010941,3.8,720
,p009155,4.0,57
,p001004,4.2,182
,p005815,3.6,83
,p007992,4.3,58
,p010406,4.2,139
